State,StateAbbreviation,County,Party,Candidate,Votes,FractionVotes
Iowa,IA,Adair,Democrat,Hillary Clinton,,0.56
Iowa,IA,Adams,Democrat,Hillary Clinton,,0.57
Iowa,IA,Allamakee,Democrat,Hillary Clinton,,0.51
Iowa,IA,Appanoose,Democrat,Hillary Clinton,,0.55
Iowa,IA,Audubon,Democrat,Hillary Clinton,,0.63
Iowa,IA,Benton,Democrat,Hillary Clinton,,0.56
Iowa,IA,Black Hawk,Democrat,Bernie Sanders,,0.53
Iowa,IA,Boone,Democrat,Bernie Sanders,,0.55
Iowa,IA,Bremer,Democrat,Hillary Clinton,,0.53
Iowa,IA,Buchanan,Democrat,Hillary Clinton,,0.53
Iowa,IA,Buena Vista,Democrat,Hillary Clinton,,0.48
Iowa,IA,Butler,Democrat,Bernie Sanders,,0.58
Iowa,IA,Calhoun,Democrat,Hillary Clinton,,0.5
Iowa,IA,Carroll,Democrat,Hillary Clinton,,0.63
Iowa,IA,Cass,Democrat,Hillary Clinton,,0.6
Iowa,IA,Cedar,Democrat,Bernie Sanders,,0.56
Iowa,IA,Cerro Gordo,Democrat,Hillary Clinton,,0.5
Iowa,IA,Cherokee,Democrat,Bernie Sanders,,0.55
Iowa,IA,Chickasaw,Democrat,Hillary Clinton,,0.6
Iowa,IA,Clarke,Democrat,Hillary Clinton,,0.58
Iowa,IA,Clay,Democrat,Bernie Sanders,,0.51
Iowa,IA,Clayton,Democrat,Bernie Sanders,,0.51
Iowa,IA,Clinton,Democrat,Bernie Sanders,,0.51
Iowa,IA,Crawford,Democrat,Hillary Clinton,,0.45
Iowa,IA,Dallas,Democrat,Hillary Clinton,,0.57
Iowa,IA,Davis,Democrat,Hillary Clinton,,0.58
Iowa,IA,Decatur,Democrat,Hillary Clinton,,0.5
Iowa,IA,Delaware,Democrat,Hillary Clinton,,0.55
Iowa,IA,Des Moines,Democrat,Bernie Sanders,,0.53
Iowa,IA,Dickinson,Democrat,Bernie Sanders,,0.51
Iowa,IA,Dubuque,Democrat,Hillary Clinton,,0.52
Iowa,IA,Emmet,Democrat,Hillary Clinton,,0.56
Iowa,IA,Fayette,Democrat,Hillary Clinton,,0.53
Iowa,IA,Floyd,Democrat,Hillary Clinton,,0.57
Iowa,IA,Franklin,Democrat,Hillary Clinton,,0.57
Iowa,IA,Fremont,Democrat,Bernie Sanders,,0.5
Iowa,IA,Greene,Democrat,Hillary Clinton,,0.54
Iowa,IA,Grundy,Democrat,Bernie Sanders,,0.52
Iowa,IA,Guthrie,Democrat,Hillary Clinton,,0.55
Iowa,IA,Hamilton,Democrat,Hillary Clinton,,0.59
Iowa,IA,Hancock,Democrat,Hillary Clinton,,0.61
Iowa,IA,Hardin,Democrat,Hillary Clinton,,0.58
Iowa,IA,Harrison,Democrat,Bernie Sanders,,0.55
Iowa,IA,Henry,Democrat,Hillary Clinton,,0.5
Iowa,IA,Howard,Democrat,Bernie Sanders,,0.54
Iowa,IA,Humboldt,Democrat,Hillary Clinton,,0.56
Iowa,IA,Ida,Democrat,Hillary Clinton,,0.53
Iowa,IA,Iowa,Democrat,Hillary Clinton,,0.51
Iowa,IA,Jackson,Democrat,Hillary Clinton,,0.5
Iowa,IA,Jasper,Democrat,Hillary Clinton,,0.52
Iowa,IA,Jefferson,Democrat,Bernie Sanders,,0.73
Iowa,IA,Johnson,Democrat,Bernie Sanders,,0.59
Iowa,IA,Jones,Democrat,Bernie Sanders,,0.53
Iowa,IA,Keokuk,Democrat,Hillary Clinton,,0.63
Iowa,IA,Kossuth,Democrat,Hillary Clinton,,0.61
Iowa,IA,Lee,Democrat,Hillary Clinton,,0.55
Iowa,IA,Linn,Democrat,Bernie Sanders,,0.52
Iowa,IA,Louisa,Democrat,Hillary Clinton,,0.56
Iowa,IA,Lucas,Democrat,Hillary Clinton,,0.6
Iowa,IA,Lyon,Democrat,Bernie Sanders,,0.57
Iowa,IA,Madison,Democrat,Hillary Clinton,,0.53
Iowa,IA,Mahaska,Democrat,Hillary Clinton,,0.56
Iowa,IA,Marion,Democrat,Hillary Clinton,,0.5
Iowa,IA,Marshall,Democrat,Bernie Sanders,,0.53
Iowa,IA,Mills,Democrat,Hillary Clinton,,0.51
Iowa,IA,Mitchell,Democrat,Hillary Clinton,,0.65
Iowa,IA,Monona,Democrat,Hillary Clinton,,0.6
Iowa,IA,Monroe,Democrat,Bernie Sanders,,0.45
Iowa,IA,Montgomery,Democrat,Bernie Sanders,,0.64
Iowa,IA,Muscatine,Democrat,Bernie Sanders,,0.54
Iowa,IA,O'Brien,Democrat,Hillary Clinton,,0.51
Iowa,IA,Osceola,Democrat,Hillary Clinton,,0.57
Iowa,IA,Page,Democrat,Bernie Sanders,,0.51
