GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1400000US24001000100,24001000100,"Census Tract 1, Allegany County, Maryland",46.1,3.3,46.5,5.9,45.8,3.5
1400000US24001000200,24001000200,"Census Tract 2, Allegany County, Maryland",39.7,3.5,36.9,1.9,48.7,4.3
1400000US24001000300,24001000300,"Census Tract 3, Allegany County, Maryland",45.5,2.6,37.9,7.0,51.2,4.8
1400000US24001000400,24001000400,"Census Tract 4, Allegany County, Maryland",42.7,4.6,35.9,6.9,45.6,1.9
1400000US24001000500,24001000500,"Census Tract 5, Allegany County, Maryland",46.6,4.7,46.9,6.1,46.5,6.7
1400000US24001000600,24001000600,"Census Tract 6, Allegany County, Maryland",46.6,3.6,44.3,4.9,49.8,4.3
1400000US24001000700,24001000700,"Census Tract 7, Allegany County, Maryland",41.1,3.7,33.3,6.4,43.8,10.3
1400000US24001000800,24001000800,"Census Tract 8, Allegany County, Maryland",33.7,3.1,33.0,2.9,34.8,5.3
1400000US24001001000,24001001000,"Census Tract 10, Allegany County, Maryland",43.9,3.4,43.2,3.7,47.5,6.0
1400000US24001001100,24001001100,"Census Tract 11, Allegany County, Maryland",48.6,4.8,51.4,4.7,43.9,9.6
1400000US24001001200,24001001200,"Census Tract 12, Allegany County, Maryland",43.7,6.2,40.5,7.7,45.8,7.0
1400000US24001001300,24001001300,"Census Tract 13, Allegany County, Maryland",39.9,2.1,39.4,1.9,44.6,5.6
1400000US24001001401,24001001401,"Census Tract 14.01, Allegany County, Maryland",46.5,1.8,45.1,3.3,48.6,4.8
1400000US24001001402,24001001402,"Census Tract 14.02, Allegany County, Maryland",40.9,1.8,38.9,6.0,46.4,8.8
1400000US24001001502,24001001502,"Census Tract 15.02, Allegany County, Maryland",47.1,4.2,46.7,6.2,47.5,5.2
1400000US24001001503,24001001503,"Census Tract 15.03, Allegany County, Maryland",43.2,4.0,39.7,7.0,47.8,5.0
1400000US24001001600,24001001600,"Census Tract 16, Allegany County, Maryland",47.9,4.4,45.2,2.3,51.8,4.1
1400000US24001001700,24001001700,"Census Tract 17, Allegany County, Maryland",39.4,7.3,29.6,8.6,43.8,6.4
1400000US24001001800,24001001800,"Census Tract 18, Allegany County, Maryland",21.8,0.4,21.7,0.5,22.0,0.6
1400000US24001001900,24001001900,"Census Tract 19, Allegany County, Maryland",43.8,3.4,43.2,4.1,44.5,5.3
1400000US24001002000,24001002000,"Census Tract 20, Allegany County, Maryland",42.1,3.5,42.1,4.4,44.0,7.0
1400000US24001002100,24001002100,"Census Tract 21, Allegany County, Maryland",41.6,3.8,38.9,4.1,44.0,3.9
1400000US24001002200,24001002200,"Census Tract 22, Allegany County, Maryland",45.4,4.2,46.6,6.0,44.4,5.6
1400000US24003701101,24003701101,"Census Tract 7011.01, Anne Arundel County, Maryland",45.5,2.5,43.7,2.9,47.2,2.8
1400000US24003701102,24003701102,"Census Tract 7011.02, Anne Arundel County, Maryland",37.8,4.4,35.3,3.6,40.7,4.0
1400000US24003701200,24003701200,"Census Tract 7012, Anne Arundel County, Maryland",43.6,1.1,43.5,1.3,43.7,1.8
1400000US24003701300,24003701300,"Census Tract 7013, Anne Arundel County, Maryland",45.5,1.4,46.7,2.7,45.0,1.5
1400000US24003701400,24003701400,"Census Tract 7014, Anne Arundel County, Maryland",49.3,2.7,47.0,3.9,52.3,3.2
1400000US24003702100,24003702100,"Census Tract 7021, Anne Arundel County, Maryland",44.2,2.8,44.1,2.9,44.6,4.0
1400000US24003702204,24003702204,"Census Tract 7022.04, Anne Arundel County, Maryland",42.8,1.2,41.6,3.0,44.1,2.6
1400000US24003702205,24003702205,"Census Tract 7022.05, Anne Arundel County, Maryland",39.9,2.5,39.6,4.9,40.0,2.5
1400000US24003702206,24003702206,"Census Tract 7022.06, Anne Arundel County, Maryland",33.3,4.9,32.0,7.3,33.7,5.7
1400000US24003702208,24003702208,"Census Tract 7022.08, Anne Arundel County, Maryland",32.7,1.6,32.6,2.5,32.8,2.8
1400000US24003702209,24003702209,"Census Tract 7022.09, Anne Arundel County, Maryland",32.5,1.6,31.9,3.0,32.8,3.8
1400000US24003702300,24003702300,"Census Tract 7023, Anne Arundel County, Maryland",45.9,1.6,45.5,2.9,46.1,1.7
1400000US24003702402,24003702402,"Census Tract 7024.02, Anne Arundel County, Maryland",46.6,1.8,42.5,5.9,49.2,3.4
1400000US24003702500,24003702500,"Census Tract 7025, Anne Arundel County, Maryland",33.6,8.2,20.8,6.0,39.7,3.0
1400000US24003702601,24003702601,"Census Tract 7026.01, Anne Arundel County, Maryland",39.2,3.5,41.5,2.9,34.9,7.5
1400000US24003702602,24003702602,"Census Tract 7026.02, Anne Arundel County, Maryland",48.9,1.6,47.9,2.5,50.1,2.4
1400000US24003702701,24003702701,"Census Tract 7027.01, Anne Arundel County, Maryland",36.5,5.0,35.1,5.6,37.8,6.8
1400000US24003702702,24003702702,"Census Tract 7027.02, Anne Arundel County, Maryland",52.4,3.5,52.2,5.5,53.2,4.0
1400000US24003706101,24003706101,"Census Tract 7061.01, Anne Arundel County, Maryland",40.5,4.5,37.8,8.4,42.7,5.4
1400000US24003706301,24003706301,"Census Tract 7063.01, Anne Arundel County, Maryland",47.2,5.8,43.0,3.4,54.0,5.6
1400000US24003706302,24003706302,"Census Tract 7063.02, Anne Arundel County, Maryland",51.2,5.9,48.5,7.6,53.0,7.5
1400000US24003706401,24003706401,"Census Tract 7064.01, Anne Arundel County, Maryland",33.5,2.9,31.2,1.7,40.0,4.6
1400000US24003706402,24003706402,"Census Tract 7064.02, Anne Arundel County, Maryland",44.3,3.3,44.6,2.1,43.5,7.5
1400000US24003706500,24003706500,"Census Tract 7065, Anne Arundel County, Maryland",37.4,3.8,36.1,2.9,41.1,7.1
1400000US24003706600,24003706600,"Census Tract 7066, Anne Arundel County, Maryland",33.8,4.5,34.8,6.4,33.1,4.4
1400000US24003706700,24003706700,"Census Tract 7067, Anne Arundel County, Maryland",21.0,0.3,21.0,0.4,21.0,0.6
1400000US24003707001,24003707001,"Census Tract 7070.01, Anne Arundel County, Maryland",41.6,3.9,44.2,4.5,38.5,3.4
