County,Total,Urban,Rural,Rural,,,,,,,,,,,,,
Adair     ,"8,243",0,"8,243",100.0%,,,,,,,,,,,,,
Adams,"4,482",0,"4,482",100.0%,,,,,,,,,,,,,
Allamakee,"14,675","4,047","10,628",72.4%,,,,,,,,,,,,,
Appanoose,"13,721","5,667","8,054",58.7%,,,,,,,,,,,,,
Audubon,"6,830",0,"6,830",100.0%,,,,,,,,,,,,,
Benton,"25,308","7,487","17,821",70.4%,,,,,,,,,,,,,
Black Hawk,"128,012","108,298","19,714",15.4%,,,,,,,,,,,,,
Boone,"26,224","12,645","13,579",51.8%,,,,,,,,,,,,,
Bremer,"23,325","7,657","15,668",67.2%,,,,,,,,,,,,,
Buchanan,"21,093","5,988","15,105",71.6%,,,,,,,,,,,,,
Buena Vista,"20,411","10,635","9,776",47.9%,,,,,,,,,,,,,
Butler,"15,305",0,"15,305",100.0%,,,,,,,,,,,,,
Calhoun,"11,115",0,"11,115",100.0%,,,,,,,,,,,,,
Carroll,"21,421","9,942","11,479",53.6%,,,,,,,,,,,,,
Cass,"14,684","6,804","7,880",53.7%,,,,,,,,,,,,,
Cedar,"18,187","3,104","15,083",82.9%,,,,,,,,,,,,,
Cerro Gordo,"46,447","36,731","9,716",20.9%,,,,,,,,,,,,,
Cherokee,"13,035","4,828","8,207",63.0%,,,,,,,,,,,,,
Chickasaw,"13,095","3,278","9,817",75.0%,,,,,,,,,,,,,
Clarke,"9,133","4,264","4,869",53.3%,,,,,,,,,,,,,
Clay,"17,372","10,927","6,445",37.1%,,,,,,,,,,,,,
Clayton,"18,678",925,"17,753",95.0%,,,,,,,,,,,,,
Clinton,"50,149","34,174","15,975",31.9%,,,,,,,,,,,,,
Crawford,"16,942","7,108","9,834",58.0%,,,,,,,,,,,,,
Dallas,"40,750","21,481","19,269",47.3%,,,,,,,,,,,,,
Davis,"8,541",0,"8,541",100.0%,,,,,,,,,,,,,
Decatur,"8,689",0,"8,689",100.0%,,,,,,,,,,,,,
Delaware,"18,404","5,333","13,071",71.0%,,,,,,,,,,,,,
Des Moines,"42,351","30,379","11,972",28.3%,,,,,,,,,,,,,
Dickinson,"16,424","11,434","4,990",30.4%,,,,,,,,,,,,,
Dubuque,"89,143","66,159","22,984",25.8%,,,,,,,,,,,,,
Emmet,"11,027","6,554","4,473",40.6%,,,,,,,,,,,,,
Fayette,"22,008","6,412","15,596",70.9%,,,,,,,,,,,,,
Floyd,"16,900","7,471","9,429",55.8%,,,,,,,,,,,,,
Franklin,"10,704","3,760","6,944",64.9%,,,,,,,,,,,,,
Fremont,"8,010",0,"8,010",100.0%,,,,,,,,,,,,,
Greene,"10,366","4,405","5,961",57.5%,,,,,,,,,,,,,
Grundy,"12,369",0,"12,369",100.0%,,,,,,,,,,,,,
Guthrie,"11,353",0,"11,353",100.0%,,,,,,,,,,,,,
Hamilton,"16,438","7,849","8,589",52.3%,,,,,,,,,,,,,
Hancock,"12,100","3,149","8,951",74.0%,,,,,,,,,,,,,
Hardin,"18,812","4,908","13,904",73.9%,,,,,,,,,,,,,
Harrison,"15,666","3,153","12,513",79.9%,,,,,,,,,,,,,
Henry,"20,336","8,404","11,932",58.7%,,,,,,,,,,,,,
Howard,"9,932","3,720","6,212",62.5%,,,,,,,,,,,,,
Humboldt,"10,381","5,210","5,171",49.8%,,,,,,,,,,,,,
Ida,"7,837",0,"7,837",100.0%,,,,,,,,,,,,,
Iowa,"15,671",0,"15,671",100.0%,,,,,,,,,,,,,
Jackson,"20,296","9,541","10,755",53.0%,,,,,,,,,,,,,
